"","validated_id","current_symbol"
"376","FBgn0005564","Shal"
"377","FBgn0005586","Rab3"
"378","FBgn0005593","RpL7"
"379","FBgn0005612","Sox14"
"380","FBgn0005613","Sox15"
"381","FBgn0005614","trpl"
"382","FBgn0005616","msl-2"
"383","FBgn0005631","robo1"
"384","FBgn0005640","Eip63E"
"385","FBgn0005642","wdn"
"386","FBgn0005648","Pabp2"
"387","FBgn0005659","Ets98B"
"388","FBgn0005660","Ets21C"
"389","FBgn0005664","Crys"
"390","FBgn0005666","bt"
"391","FBgn0005670","Cyp4d1"
"392","FBgn0005671","Vha55"
"393","FBgn0005672","spi"
"394","FBgn0005674","GluProRS"
"395","FBgn0005775","Con"
"396","FBgn0008635","βCOP"
"397","FBgn0010014","CanB"
"398","FBgn0010015","CanA1"
"399","FBgn0010038","GstD2"
"400","FBgn0010039","GstD3"
"401","FBgn0010041","GstD5"
"402","FBgn0010042","GstD6"
"403","FBgn0010053","Jheh1"
"404","FBgn0010078","RpL23"
"405","FBgn0010100","mAcon1"
"406","FBgn0010109","dpn"
"407","FBgn0010173","RPA1"
"408","FBgn0010194","Wnt5"
"409","FBgn0010197","Gyc32E"
"410","FBgn0010198","RpS15Aa"
"411","FBgn0010213","Sod2"
"412","FBgn0010217","ATPsynβ"
"413","FBgn0010220","Dbp45A"
"414","FBgn0010222","Nmdmc"
"415","FBgn0010223","Gαf"
"416","FBgn0010225","Gel"
"417","FBgn0010226","GstS1"
"418","FBgn0010228","HmgZ"
"419","FBgn0010238","Lac"
"420","FBgn0010240","Lcch3"
"421","FBgn0010241","Mdr50"
"422","FBgn0010246","Myo61F"
"423","FBgn0010247","Parp1"
"424","FBgn0010263","Rbp9"
"425","FBgn0010265","RpS13"
"426","FBgn0010278","Ssrp"
"427","FBgn0010292","bys"
"428","FBgn0010300","brat"
"429","FBgn0010309","pigeon"
"430","FBgn0010314","Cks30A"
"431","FBgn0010316","dap"
"432","FBgn0010317","CycJ"
"433","FBgn0010329","Tbh"
"434","FBgn0010339","128up"
"435","FBgn0010341","Cdc42"
"436","FBgn0010350","Cds"
"437","FBgn0010379","Akt"
"438","FBgn0010383","Cyp18a1"
"439","FBgn0010385","Def"
"440","FBgn0010387","Acbp2"
"441","FBgn0010388","Dro"
"442","FBgn0010391","SrpRα"
"443","FBgn0010395","Itgbn"
"444","FBgn0010407","Ror"
"445","FBgn0010408","RpS9"
"446","FBgn0010409","RpL18A"
"447","FBgn0010411","RpS18"
"448","FBgn0010412","RpS19a"
"449","FBgn0010424","TpnC73F"
"450","FBgn0010434","cora"
"451","FBgn0010435","emp"
"452","FBgn0010452","trn"
"453","FBgn0010453","Wnt4"
"454","FBgn0010470","Fkbp14"
"455","FBgn0010473","tutl"
"456","FBgn0010482","hlk"
"457","FBgn0010488","NAT1"
"458","FBgn0010497","dmGlut"
"459","FBgn0010516","wal"
"460","FBgn0010531","Ccs"
"461","FBgn0010548","Aldh-III"
"462","FBgn0010590","Prosβ1"
"463","FBgn0010591","Sply"
"464","FBgn0010602","lwr"
"465","FBgn0010607","l(2)05714"
"466","FBgn0010611","Hmgs"
"467","FBgn0010612","ATPsynG"
"468","FBgn0010621","CCT5"
"469","FBgn0010638","Sec61β"
"470","FBgn0010651","MFS14"
"471","FBgn0010660","Nup214"
"472","FBgn0010741","Pfdn2"
"473","FBgn0010750","atms"
"474","FBgn0010768","sqz"
"475","FBgn0010770","ppan"
"476","FBgn0010774","Ref1"
"477","FBgn0010786","Hmbs"
"478","FBgn0010803","TrpRS"
"479","FBgn0010808","Chchd3"
"480","FBgn0288846","unc-45"
"481","FBgn0010877","l(3)05822"
"482","FBgn0010905","Spn"
"483","FBgn0010909","msn"
"484","FBgn0010926","l(3)07882"
"485","FBgn0011016","SsRβ"
"486","FBgn0011202","dia"
"487","FBgn0011205","fbl"
"488","FBgn0011206","bol"
"489","FBgn0011211","blw"
"490","FBgn0011217","eff"
"491","FBgn0011224","heph"
"492","FBgn0011225","jar"
"493","FBgn0011227","ox"
"494","FBgn0011236","ken"
"495","FBgn0011259","Sema1a"
"496","FBgn0011260","Sema2a"
"497","FBgn0011272","RpL13"
"498","FBgn0011274","Dif"
"499","FBgn0011278","lbe"
"500","FBgn0011284","RpS4"
"501","FBgn0011286","RyR"
"502","FBgn0011288","Snap25"
"503","FBgn0011293","a10"
"504","FBgn0011296","l(2)efl"
"505","FBgn0011297","Alg3"
"506","FBgn0011361","ND-ACP"
"507","FBgn0011474","Set8"
"508","FBgn0011509","SrpRβ"
"509","FBgn0011566","Smyd3"
"510","FBgn0011581","Ms"
"511","FBgn0011582","Dop1R1"
"512","FBgn0011584","Trp1"
"513","FBgn0011592","fra"
"514","FBgn0011603","ine"
"515","FBgn0011638","La"
"516","FBgn0011661","Moe"
"517","FBgn0011666","msi"
"518","FBgn0011672","Mvl"
"519","FBgn0011674","insc"
"520","FBgn0011693","Pdh"
"521","FBgn0011695","EbpIII"
"522","FBgn0011701","repo"
"523","FBgn0011703","RnrL"
"524","FBgn0011705","rost"
"525","FBgn0011708","Syx5"
"526","FBgn0011726","tsr"
"527","FBgn0011740","α-Man-IIa"
"528","FBgn0011746","ana"
"529","FBgn0011754","PhKγ"
"530","FBgn0011760","ctp"
"531","FBgn0011769","Fdx1"
"532","FBgn0011770","Gip"
"533","FBgn0011774","Irbp"
"534","FBgn0011787","mRpL12"
"535","FBgn0011817","nmo"
"536","FBgn0011818","oaf"
"537","FBgn0011824","Gar1"
"538","FBgn0011828","Pxn"
"539","FBgn0011829","Ret"
"540","FBgn0011837","Tis11"
"541","FBgn0012037","Ance"
"542","FBgn0012042","AttA"
"543","FBgn0012344","Dh44"
"544","FBgn0013272","Gp150"
"545","FBgn0013276","Hsp70Ab"
"546","FBgn0013277","Hsp70Ba"
"547","FBgn0013278","Hsp70Bb"
"548","FBgn0013279","Hsp70Bc"
"549","FBgn0013303","Nca"
"550","FBgn0013305","Nmda1"
"551","FBgn0013307","Odc1"
"552","FBgn0013323","Ptth"
"553","FBgn0013325","RpL11"
"554","FBgn0013334","Sap47"
"555","FBgn0013342","nSyb"
"556","FBgn0013348","TpnC41C"
"557","FBgn0013432","bcn92"
"558","FBgn0013433","beat-Ia"
"559","FBgn0013467","igl"
"560","FBgn0013469","klu"
"561","FBgn0013563","Pex1"
"562","FBgn0013576","mtd"
"563","FBgn0013672","mt:ATPase6"
"564","FBgn0013674","mt:CoI"
"565","FBgn0013675","mt:CoII"
"566","FBgn0013676","mt:CoIII"
"567","FBgn0013678","mt:Cyt-b"
"568","FBgn0013683","mt:ND4L"
"569","FBgn0013684","mt:ND5"
"570","FBgn0013718","nuf"
"571","FBgn0013732","sced"
"572","FBgn0013753","Bgb"
"573","FBgn0013759","CASK"
"574","FBgn0013763","Idgf6"
"575","FBgn0013767","Crz"
"576","FBgn0013771","Cyp6a9"
"577","FBgn0013772","Cyp6a8"
"578","FBgn0013773","Cyp6a22"
"579","FBgn0013799","Deaf1"
"580","FBgn0013811","Dhc62B"
"581","FBgn0013812","Dhc93AB"
"582","FBgn0013813","Dhc98D"
"583","FBgn0013949","Elal"
"584","FBgn0013953","Esp"
"585","FBgn0013972","Gycα99B"
"586","FBgn0013973","Gycβ100B"
"587","FBgn0013983","imd"
"588","FBgn0013987","MAPk-Ak2"
"589","FBgn0013995","Calx"
"590","FBgn0014011","Rac2"
"591","FBgn0014018","Rel"
"592","FBgn0014020","Rho1"
"593","FBgn0014023","mRpL47"
"594","FBgn0014026","RpL7A"
"595","FBgn0014031","Agxt"
"596","FBgn0014032","Sptr"
"597","FBgn0014033","Sr-CI"
"598","FBgn0014037","Su(Tpl)"
"599","FBgn0014141","cher"
"600","FBgn0014184","Oda"
"601","FBgn0014342","mia"
"602","FBgn0014380","RhoL"
"603","FBgn0014388","sty"
"604","FBgn0014391","sun"
"605","FBgn0014396","tim"
"606","FBgn0014411","Vps26"
"607","FBgn0014427","Psat"
"608","FBgn0014454","Acp1"
"609","FBgn0014455","Ahcy"
"610","FBgn0014465","Cp7Fb"
"611","FBgn0014859","Hr38"
"612","FBgn0014863","Mlp84B"
"613","FBgn0014865","Mtk"
"614","FBgn0014870","Psi"
"615","FBgn0014877","Roe1"
"616","FBgn0014903","CG14630"
"617","FBgn0014906","Hydr2"
"618","FBgn0015019","CCT3"
"619","FBgn0015024","CkIα"
"620","FBgn0015031","cype"
"621","FBgn0015032","Cyp4c3"
"622","FBgn0015033","Cyp4d8"
"623","FBgn0015034","Cyp4e1"
"624","FBgn0015035","Cyp4e3"
"625","FBgn0015036","Cyp4ae1"
"626","FBgn0015037","Cyp4p1"
"627","FBgn0015221","Fer2LCH"
"628","FBgn0015222","Fer1HCH"
"629","FBgn0015229","glec"
"630","FBgn0015268","Nap1"
"631","FBgn0015269","Nf1"
"632","FBgn0015279","Pi3K92E"
"633","FBgn0015288","RpL22"
"634","FBgn0015296","Shc"
"635","FBgn0015298","Srp19"
"636","FBgn0015299","Ssb-c31a"
"637","FBgn0015321","Ubc4"
"638","FBgn0015351","Mettl4"
"639","FBgn0015359","Elp5"
"640","FBgn0015360","oxt"
"641","FBgn0015380","drl"
"642","FBgn0015400","kek2"
"643","FBgn0015477","Rme-8"
"644","FBgn0015509","Cul1"
"645","FBgn0015519","nAChRα3"
"646","FBgn0015520","nonA-l"
"647","FBgn0015521","RpS21"
"648","FBgn0015522","olf186-M"
"649","FBgn0015527","peng"
"650","FBgn0015568","α-Est1"
"651","FBgn0015569","α-Est10"
"652","FBgn0015570","α-Est2"
"653","FBgn0015575","α-Est7"
"654","FBgn0015576","α-Est8"
"655","FBgn0015591","AstA"
"656","FBgn0015600","toc"
"657","FBgn0015609","CadN"
"658","FBgn0015614","CanB2"
"659","FBgn0015623","Cpr"
"660","FBgn0015625","CycB3"
"661","FBgn0015663","Ugt36A1"
"662","FBgn0015721","ktub"
"663","FBgn0015754","Lis-1"
"664","FBgn0015756","RpL9"
"665","FBgn0015765","p38a"
"666","FBgn0015766","Msr-110"
"667","FBgn0015774","NetB"
"668","FBgn0015777","nrv2"
"669","FBgn0015778","rin"
"670","FBgn0015789","Rab10"
"671","FBgn0015791","Rab14"
"672","FBgn0015797","Rab6"
"673","FBgn0015799","Rbf"
"674","FBgn0015801","Reg-5"
"675","FBgn0015803","RtGEF"
"676","FBgn0015805","HDAC1"
"677","FBgn0015872","Drip"
"678","FBgn0015905","ast"
"679","FBgn0015924","crq"
"680","FBgn0015929","dpa"
"681","FBgn0016032","lbm"
"682","FBgn0016038","Vsp37A"
"683","FBgn0016041","Tom40"
"684","FBgn0016047","nompA"
"685","FBgn0016054","phr6-4"
"686","FBgn0016059","Sema1b"
"687","FBgn0016070","smg"
"688","FBgn0016075","vkg"
"689","FBgn0016076","vri"
"690","FBgn0016119","ATPsynCF6"
"691","FBgn0016120","ATPsynD"
"692","FBgn0016122","Acer"
"693","FBgn0016126","CaMKI"
"694","FBgn0016131","Cdk4"
"695","FBgn0016650","Lgr1"
"696","FBgn0016672","Ipp"
"697","FBgn0016675","Lectin-galC1"
"698","FBgn0016684","NaPi-T"
"699","FBgn0016687","Nurf-38"
"700","FBgn0016691","ATPsynO"
"701","FBgn0016701","Rab4"
"702","FBgn0016715","Reg-2"
"703","FBgn0016726","RpL29"
"704","FBgn0016756","Usp47"
"705","FBgn0016762","angel"
"706","FBgn0016794","dos"
"707","FBgn0016919","nompB"
"708","FBgn0016926","Pino"
"709","FBgn0016930","Dyrk2"
"710","FBgn0016974","swaΨ"
"711","FBgn0016976","stnA"
"712","FBgn0016984","sktl"
"713","FBgn0017418","ari-1"
"714","FBgn0017429","CG5989"
"715","FBgn0017430","Nelf-E"
"716","FBgn0017457","U2af38"
"717","FBgn0017545","RpS3A"
"718","FBgn0017558","Pdk"
"719","FBgn0017567","ND-23"
"720","FBgn0017572","Mo25"
"721","FBgn0017579","RpL14"
"722","FBgn0017581","Lk6"
"723","FBgn0017590","klg"
"724","FBgn0019624","COX5A"
"725","FBgn0287831","speck"
"726","FBgn0019644","ATPsynB"
"727","FBgn0019650","toy"
"728","FBgn0019662","qm"
"729","FBgn0019830","colt"
"730","FBgn0019925","Surf4"
"731","FBgn0019936","RpS20"
"732","FBgn0019938","Polr1A"
"733","FBgn0019940","Rh6"
"734","FBgn0019949","Cdk9"
"735","FBgn0019952","Orct"
"736","FBgn0019957","ND-42"
"737","FBgn0019982","Gs1l"
"738","FBgn0019985","mGluR"
"739","FBgn0020235","ATPsynγ"
"740","FBgn0020238","14-3-3ε"
"741","FBgn0020248","stet"
"742","FBgn0020251","sfl"
"743","FBgn0020255","Ran"
"744","FBgn0020269","mspo"
"745","FBgn0020270","mre11"
"746","FBgn0020272","mst"
"747","FBgn0020277","lush"
"748","FBgn0020278","loco"
"749","FBgn0020294","ko"
"750","FBgn0020299","stumps"
"751","FBgn0020300","geko"
"752","FBgn0020306","dom"
"753","FBgn0020369","Rpt6"
