,validated_id,current_symbol,Official_ID,First_Author,Year,PMID,website_address
102,FBgn0034849,CG3500,LinearUp-5,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
103,FBgn0000150,awd,Complex-9,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
104,FBgn0038042,Scgβ,LinearDown-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
105,FBgn0000152,Axs,LinearUp-2,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
106,FBgn0039358,Idh3g,LinearDown-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
107,FBgn0000158,bam,LinearUp-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
108,FBgn0033519,CG11825,LinearUp-2,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
109,FBgn0027521,CG3679,LinearUp-8,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
110,FBgn0038053,CG18549,Complex-12,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
111,FBgn0000173,ben,LinearDown-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
112,FBgn0000181,bic,LinearUp-2,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
113,FBgn0027525,LTV1,Complex-8,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
114,FBgn0004842,RYa-R,LinearDown-3,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
115,FBgn0000183,BicD,LinearDown-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
116,FBgn0027527,Osi6,LinearUp-7,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
117,FBgn0000206,boss,Complex-12,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
118,FBgn0033527,CG11777,LinearDown-5,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
119,FBgn0033529,Pef,LinearUp-3,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
120,FBgn0000212,brm,LinearDown-4,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
121,FBgn0027529,tapas,LinearUp-3,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
122,FBgn0085256,CG34227,LinearUp-3,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
123,FBgn0027532,CG7139,LinearUp-5,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
124,FBgn0027537,Nup93-1,LinearUp-2,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
125,FBgn0033543,Daao1,LinearDown-5,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
126,FBgn0085261,CG34232,LinearUp-7,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
127,FBgn0000239,bur,LinearUp-1,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
128,FBgn0033551,CG7222,Complex-14,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
129,FBgn0000241,bw,Complex-13,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
