,gene_id,day,Samples,Norm_Counts,survivorship,sp,validated_id,current_symbol
74042,FBgn0016120,17,17a,983.7266,0.9383863,5,FBgn0016120,ATPsynD
74043,FBgn0016120,3,3b,1679.855,0.9996167,1,FBgn0016120,ATPsynD
74044,FBgn0016120,59,59g,1049.171,0.0192379,15,FBgn0016120,ATPsynD
74045,FBgn0016120,48,48c,908.6575,0.1694146,12,FBgn0016120,ATPsynD
74046,FBgn0016120,42,42c,1002.479,0.391936,11,FBgn0016120,ATPsynD
74047,FBgn0016120,55,55a,862.5942,0.0525453,14,FBgn0016120,ATPsynD
74048,FBgn0016120,14,14b,1095.902,0.9616176,4,FBgn0016120,ATPsynD
74049,FBgn0016120,31,31b,1125.37,0.6472712,8,FBgn0016120,ATPsynD
74050,FBgn0016120,36,36b,1102.609,0.5669878,9,FBgn0016120,ATPsynD
74051,FBgn0016120,6,6a,1079.49,0.9976817,2,FBgn0016120,ATPsynD
74052,FBgn0016120,10,10c,1130.025,0.9935861,3,FBgn0016120,ATPsynD
74053,FBgn0016120,17,17b,1173.687,0.9383863,5,FBgn0016120,ATPsynD
74054,FBgn0016120,17,17c,1119.757,0.9383863,5,FBgn0016120,ATPsynD
74055,FBgn0016120,3,3a,1620.134,0.9996167,1,FBgn0016120,ATPsynD
74056,FBgn0016120,3,3c,2074.01,0.9996167,1,FBgn0016120,ATPsynD
74057,FBgn0016120,14,14c,1059.096,0.9616176,4,FBgn0016120,ATPsynD
74058,FBgn0016120,23,23a,1043.485,0.7575641,6,FBgn0016120,ATPsynD
74059,FBgn0016120,50,50c,984.2902,0.1075575,13,FBgn0016120,ATPsynD
74060,FBgn0016120,27,27b,1114.155,0.6995397,7,FBgn0016120,ATPsynD
74061,FBgn0016120,10,10a,1111.695,0.9935861,3,FBgn0016120,ATPsynD
74062,FBgn0016120,6,6c,1272.559,0.9976817,2,FBgn0016120,ATPsynD
74063,FBgn0016120,38,38c,1050.352,0.5157502,10,FBgn0016120,ATPsynD
74064,FBgn0016120,48,48a,935.0107,0.1694146,12,FBgn0016120,ATPsynD
